"""Exportvalue"""
372.7
383.8
432
344.2
405.7
491.4
463.4
435.3
455.7
445.5
456.2
456.7
449.3
454
520.6
351.5
328.9
479.3
510.3
529.2
589.3
454.7
431.6
493.2
463.2
542.4
592.7
522.6
659.5
627.5
613.2
607.3
582.7
584.2
557.4
545.1
549.4
589.3
633.9
603.2
651.9
607.2
606.5
634.1
642.4
624.1
600.3
616
567.6
634.6
716.3
599.1
659.1
699.8
668.1
652.7
715.7
673.6
622.6
670.1
607.8
659.3
736.3
629.5
702.2
692.2
728
701.8
673.9
627
583.9
664.1
579.1
631.5
833
586.1
702
705.2
656
723.9
760.7
739.3
683.3
703.6
627.9
680.1
844
610.1
759.2
735.7
752.4
828.8
830.5
803.7
775.7
784.1
774
757.6
898.3
722.3
862.5
869.6
853.1
942.8
829
880.4
807.4
783.4
750.9
778.9
861.4
739
808.6
779.4
829.1
824.4
793.7
772.9
818.3
761
738.9
775.1
784.8
449.5
297.4
373.6
472.6
620.9
793.1
802.4
796.4
869.7
